"comment_id","username","comment_text"
"1","user001","This made me smile today."
"2","user002","That was smooth editing!"
"3","user003","Pathetic effort."
"4","user004","Such a helpful tutorial, thank you!"
"5","user005","I hope your day is great :)"
"6","user006","You have no clue what you're doing."
"7","user007","Big fan of your work!"
"8","user008","You have no clue what you're doing."
"9","user009","Keep shining!"
"10","user010","Why are you even here?"
"11","user011","You're so dumb it's painful."
"12","user012","Wholesome content, I like it."
"13","user013","Loved the energy in this."
"14","user014","Thanks for breaking it down so well."
"15","user015","Can’t stop watching this!"
"16","user016","Awesome energy and great delivery!"
"17","user017","This made me smile today."
"18","user018","Wholesome content, I like it."
"19","user019","What a load of garbage."
"20","user020","Good luck with everything!"
"21","user021","Your face is punchable."
"22","user022","Why would anyone watch this crap?"
"23","user023","Nailed it!"
"24","user024","Great job!"
"25","user025","You're so dumb it's painful."
"26","user026","You’re a disgrace."
"27","user027","This is the worst video ever."
"28","user028","You're so dumb it's painful."
"29","user029","I hate this so much."
"30","user030","That was smooth editing!"
"31","user031","You’re trash."
"32","user032","Keep shining!"
"33","user033","This is cringe."
"34","user034","Your face is punchable."
"35","user035","You’re a disgrace."
"36","user036","Idiot alert."
"37","user037","Much needed advice, thanks!"
"38","user038","Idiot alert."
"39","user039","Big fan of your work!"
"40","user040","You're amazing at this!"
"41","user041","Can’t stop watching this!"
"42","user042","Can't wait for your next post!"
"43","user043","Such good vibes here."
"44","user044","How is this even allowed?"
"45","user045","This helped me a lot, appreciate it!"
"46","user046","Your content always cheers me up."
"47","user047","I hope you fail."
"48","user048","Amazing quality!"
"49","user049","I feel smarter after watching this!"
"50","user050","Unbelievable nonsense."
"51","user051","Thanks for sharing your journey!"
"52","user052","You’re the best!"
"53","user053","This changed my perspective."
"54","user054","Total garbage."
"55","user055","I’m so proud of you."
"56","user056","How can you be so stupid?"
"57","user057","Brilliantly done."
"58","user058","Wow, this was powerful."
"59","user059","Waste of time."
"60","user060","Appreciate the honesty here."
"61","user061","You’re going places!"
"62","user062","This is awful."
"63","user063","Learned something new today."
"64","user064","You’ve outdone yourself!"
"65","user065","Stop posting forever."
"66","user066","Inspired by this!"
"67","user067","This is pure gold."
"68","user068","Useless and boring."
"69","user069","Loved every second."
"70","user070","Nice to see someone being real."
"71","user071","You’re my favorite creator!"
"72","user072","Cringe content."
"73","user073","Amazing storytelling."
"74","user074","Not impressed."
"75","user075","You’ve got talent!"
"76","user076","I couldn’t care less."
"77","user077","Fantastic work!"
"78","user078","Garbage again."
"79","user079","So wholesome!"
"80","user080","Your voice is soothing."
"81","user081","Why are you like this?"
"82","user082","I learned so much from this!"
"83","user083","Pure inspiration!"
"84","user084","Just stop."
"85","user085","Your content keeps getting better."
"86","user086","Another masterpiece!"
"87","user087","This is embarrassing."
"88","user088","A breath of fresh air."
"89","user089","Love your mindset."
"90","user090","This makes no sense."
"91","user091","You’ve got a fan in me!"
"92","user092","Clueless as always."
"93","user093","This gave me hope."
"94","user094","Lame and lazy."
"95","user095","Such calm energy."
"96","user096","This is horrible."
"97","user097","Well explained!"
"98","user098","My favorite post this week!"
"99","user099","Disgusting."
"100","user100","Such a great attitude."
"101","user101","Totally unnecessary."
"102","user102","Thanks for this clarity!"
"103","user103","You suck."
"104","user104","Very informative!"
"105","user105","Who even asked?"
"106","user106","This deserves more views!"
"107","user107","You’re annoying."
"108","user108","Genuinely helpful."
"109","user109","Try harder next time."
"110","user110","You nailed this topic!"
"111","user111","I'm saving this for later."
"112","user112","What were you thinking?"
"113","user113","Brings so much value."
"114","user114","Please never speak again."
"115","user115","This hit home for me."
"116","user116","Embarrassing to watch."
"117","user117","You’re so authentic!"
"118","user118","I hated every second."
"119","user119","Absolutely beautiful!"
"120","user120","This was a joke, right?"
"121","user121","So motivating!"
"122","user122","You're wasting everyone's time."
"123","user123","Exactly what I needed today."
"124","user124","This is garbage content."
"125","user125","Love the calm tone."
"126","user126","Worst thing I’ve seen all week."
"127","user127","Thanks for keeping it real!"
"128","user128","This is just painful to watch."
"129","user129","I admire your confidence."
"130","user130","Pathetic attempt."
"131","user131","Sharing this with my friends!"
"132","user132","You’re such a joke."
"133","user133","Really good breakdown of the topic."
"134","user134","Boring and irrelevant."
"135","user135","I’m so glad I watched this."
"136","user136","Trash post."
"137","user137","Please keep posting!"
"138","user138","Nothing useful here."
"139","user139","You’re doing amazing!"
"140","user140","What a stupid idea."
"141","user141","Truly enlightening."
"142","user142","This is just wrong."
"143","user143","Your voice is so comforting."
"144","user144","Go away."
"145","user145","This really made me think."
"146","user146","One of the worst takes ever."
"147","user147","Such creative ideas!"
"148","user148","I wish I hadn’t seen this."
"149","user149","Keep up the amazing work!"
"150","user150","Who thought this was good?"
"151","user151","Sending good vibes your way!"
"152","user152","I regret clicking this."
"153","user153","This really helped me!"
"154","user154","Utter nonsense."
"155","user155","You're so talented!"
"156","user156","Cringe overload."
"157","user157","Your smile is contagious!"
"158","user158","Why is this on my feed?"
"159","user159","This deserves an award!"
"160","user160","Ugh, this again?"
"161","user161","Thanks for being so honest!"
"162","user162","I feel dumber now."
"163","user163","You have such a peaceful presence."
"164","user164","Completely unnecessary."
"165","user165","Learned more here than school."
"166","user166","Can’t believe this exists."
"167","user167","I’m cheering for you!"
"168","user168","This is just sad."
"169","user169","Amazing perspective!"
"170","user170","What a clown."
"171","user171","This gave me hope today."
"172","user172","Stop trying so hard."
"173","user173","Thank you for this message!"
"174","user174","This is such a fail."
"175","user175","I needed this positivity."
"176","user176","Lame attempt at being relevant."
"177","user177","You inspire me!"
"178","user178","You clearly don’t get it."
"179","user179","This made me feel better."
"180","user180","Another clickbait post."
"181","user181","Such good energy!"
"182","user182","No one cares."
"183","user183","You really put effort into this!"
"184","user184","I can't believe this is real."
"185","user185","Very heartwarming!"
"186","user186","Try again, loser."
"187","user187","Your authenticity shines!"
"188","user188","Please stop embarrassing yourself."
"189","user189","This is so uplifting!"
"190","user190","Awful delivery."
"191","user191","Thanks for being you!"
"192","user192","Delete this immediately."
"193","user193","This message is everything!"
"194","user194","Wasting my data."
"195","user195","So proud of how far you’ve come!"
"196","user196","I’m blocking this account."
"197","user197","You helped me through a tough time."
"198","user198","Get off the internet."
"199","user199","This brought tears to my eyes!"
"200","user200","You're changing lives!"
